request_id,sub,n_candidates,attempts,verdicts,gt_scores,edit_voxels,oracle,random,spread,shipped_kind,shipped,shipped_attempt,contested,mbr_iou_distinct,mbr_iou_abstained,mbr_iou,mbr_iou_attempt,mbr_iou_is_argmax,mbr_iou_consensus,mbr_f1_distinct,mbr_f1_abstained,mbr_f1,mbr_f1_attempt,mbr_f1_is_argmax,mbr_f1_consensus
3YH2WFSRM22W7DKT_1769175629.871246,0,2,1|2,rejected|accepted,0.3369|0.3484,9415|8605,0.34838,0.342633,0.011495,accepted,0.34838,2,True,2,True,0.34838,2,True,0.000|0.000,2,True,0.34838,2,True,0.000|0.000
3YH2WFSRM22W7DKT_1769177020.525719,0,3,1|2|3,partial|rejected|partial,0.0839|0.0839|0.0893,420|420|447,0.089314,0.085708,0.005408,partial,0.089314,3,False,2,True,0.089314,3,True,0.000|0.000|0.000,2,True,0.089314,3,True,0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769177116.6129558,0,3,1|2|3,partial|rejected|rejected,0.0000|0.0000|0.0000,96|96|97,0.0,0.0,0.0,partial,0.0,1,False,2,True,0.0,1,True,0.000|0.000|0.000,1,True,0.0,1,True,0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769773134.1453462,0,2,2|3,partial|partial,0.0362|0.0315,3976|6309,0.036219,0.033859,0.004719,partial,0.0315,3,False,2,True,0.0315,3,False,0.000|0.000,2,True,0.0315,3,False,0.000|0.000
3YH2WFSRM22W7DKT_1769773335.525203,3,2,1|3,rejected|accepted,0.4400|0.5790,623|839,0.578969,0.509494,0.138951,accepted,0.578969,3,True,2,True,0.578969,3,True,0.000|0.000,2,True,0.578969,3,True,0.000|0.000
3YH2WFSRM22W7DKT_1769773481.491738,0,3,1|2|3,rejected|rejected|accepted,0.3773|0.3773|0.3773,1376|1376|1376,0.377341,0.377341,0.0,accepted,0.377341,3,False,1,True,0.377341,3,True,0.000|0.000|0.000,1,True,0.377341,3,True,0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769773481.491738,3,4,1|2|3|4,rejected|rejected|rejected|accepted,0.9826|0.9826|0.9826|0.9826,5283|5283|5283|5283,0.982624,0.982624,0.0,accepted,0.982624,4,False,1,True,0.982624,4,True,0.000|0.000|0.000|0.000,1,True,0.982624,4,True,0.000|0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769779150.98797,0,3,2|3|4,rejected|rejected|accepted,0.7911|0.7911|0.9029,2190|2190|3094,0.902936,0.828407,0.111793,accepted,0.902936,4,True,2,True,0.902936,4,True,0.000|0.000|0.000,2,True,0.902936,4,True,0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769779150.98797,1,3,1|2|3,rejected|partial|rejected,0.9029|0.7356|0.7356,3094|3229|3229,0.902936,0.791347,0.167383,partial,0.735553,2,True,2,True,0.735553,2,False,0.000|0.000|0.000,2,True,0.735553,2,False,0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769779150.98797,2,6,1|2|3|4|5|6,rejected|rejected|rejected|rejected|rejected|rejected,0.7450|0.7450|0.7534|0.7534|0.7160|0.7160,3277|3277|3320|3320|3403|3403,0.753367,0.738123,0.037378,none-kept,,,True,3,False,0.745012,1,False,1.923|1.923|1.911|1.911|1.860|1.860,2,True,,,False,0.000|0.000|0.000|0.000|0.000|0.000
3YH2WFSRM22W7DKT_1769782403.586036,0,3,1|2|3,rejected|partial|partial,0.0969|0.1350|0.1397,459|280|280,0.139651,0.123846,0.042765,partial,0.139651,3,True,3,False,0.139651,3,True,1.210|1.578|1.589,3,False,0.139651,3,True,1.507|1.739|1.747
4E22SJE7QVTSP2E3_1758737118.288898,0,3,1|2|3,rejected|partial|partial,0.2679|0.2679|0.2748,482|482|489,0.2748,0.270192,0.006913,partial,0.2748,3,False,2,True,0.2748,3,True,0.000|0.000|0.000,1,True,0.2748,3,True,0.000|0.000|0.000
4S7JQK6ZQMAD25GL_1758863141.735564,0,5,1|2|3|4|5,rejected|rejected|rejected|rejected|accepted,0.0075|0.0075|0.0075|0.0075|0.5780,608|609|608|608|1028,0.577957,0.121583,0.570473,accepted,0.577957,5,True,2,True,0.577957,5,True,0.000|0.000|0.000|0.000|0.000,2,True,0.577957,5,True,0.000|0.000|0.000|0.000|0.000
4S7JQK6ZQMAD25GL_1758863403.376244,0,4,1|2|3|5,rejected|rejected|rejected|accepted,0.0000|0.0000|0.0000|0.0000,2726|1051|596|826,0.0,0.0,0.0,accepted,0.0,5,False,4,False,0.0,5,True,0.843|1.527|1.507|1.535,4,False,0.0,2,True,1.301|2.010|1.921|1.954
4S7JQK6ZQMAD25GL_1758863403.376244,1,3,1|2|3,partial|rejected|accepted,0.0000|0.0000|0.0000,595|1169|595,0.0,0.0,0.0,accepted,0.0,3,False,2,True,0.0,3,True,0.000|0.000|0.000,2,True,0.0,3,True,0.000|0.000|0.000
B7A2N74ZJBF9MZHU_1770166308.11235,0,2,1|3,partial|rejected,0.8276|0.2368,1408|7370,0.827586,0.532214,0.590744,partial,0.827586,1,True,2,True,0.827586,1,True,0.000|0.000,2,True,0.827586,1,True,0.000|0.000
B7A2N74ZJBF9MZHU_1770166901.871316,0,3,1|2|3,partial|rejected|partial,0.7241|0.9767|0.9767,444|264|264,0.976744,0.892542,0.252606,partial,0.976744,3,True,2,True,0.976744,3,True,0.000|0.000|0.000,2,True,0.976744,3,True,0.000|0.000|0.000
B7A2N74ZJBF9MZHU_1770171700.697783,0,5,1|2|3|4|5,rejected|rejected|rejected|partial|accepted,0.0435|0.0100|0.0135|0.0176|0.0176,854|514|6|53|53,0.043523,0.020452,0.033548,accepted,0.017647,5,True,4,False,0.043523,1,True,0.466|0.405|0.124|0.179|0.179,4,False,0.043523,1,True,0.700|0.583|0.225|0.327|0.327
B7A2N74ZJBF9MZHU_1770172545.5244548,1,6,1|2|3|4|5|6,rejected|rejected|rejected|rejected|partial|partial,0.9656|0.9656|0.9656|0.9656|0.9645|0.9505,1727|1727|1727|1727|1730|1785,0.965614,0.96291,0.015146,partial,0.950468,6,True,2,True,0.950468,6,False,0.000|0.000|0.000|0.000|0.000|0.000,2,True,0.950468,6,False,0.000|0.000|0.000|0.000|0.000|0.000
F332D3FXML85WLR2_1769424096.996583,0,2,1|2,rejected|accepted,0.0670|0.5816,111|2989,0.58164,0.32432,0.514641,accepted,0.58164,2,True,2,True,0.58164,2,True,0.000|0.000,2,True,0.58164,2,True,0.000|0.000
F332D3FXML85WLR2_1769607142.566352,3,6,1|2|3|4|5|6,rejected|rejected|rejected|rejected|rejected|accepted,0.7827|0.7827|0.7827|0.7827|0.7827|0.7827,2812|2812|2812|2812|2812|2812,0.782654,0.782654,0.0,accepted,0.782654,6,False,1,True,0.782654,6,True,0.000|0.000|0.000|0.000|0.000|0.000,1,True,0.782654,6,True,0.000|0.000|0.000|0.000|0.000|0.000
F332D3FXML85WLR2_1770204558.429523,0,2,1|2,rejected|accepted,0.0000|0.9571,5|83,0.957055,0.478528,0.957055,accepted,0.957055,2,True,2,True,0.957055,2,True,0.000|0.000,2,True,0.957055,2,True,0.000|0.000
